Metric,SPY,Strategy
Risk-Free Rate,4.19%,4.19%
Time in Market,69.0%,69.0%
,,
Total Return,58%,2%
CAGR% (Annual Return),25.87%,1.02%
,,
Sharpe,1.54,-4.99
RoMaD,2.6,2.03
Corr to Benchmark,1.0,0.37
Prob. Sharpe Ratio,93.04%,87.45%
Smart Sharpe,1.5,-4.86
Sortino,2.28,-5.77
Smart Sortino,2.22,-5.62
Sortino/√2,1.62,-4.08
Smart Sortino/√2,1.57,-3.97
Omega,0.48,0.48
,,
Max Drawdown,-9.97%,-0.5%
Longest DD Days,121,136
Volatility (ann.),12.8%,0.62%
R^2,0.14,0.14
Information Ratio,-0.09,-0.09
Calmar,2.6,2.03
Skew,-0.18,-0.67
Kurtosis,2.35,6.87
,,
Expected Daily%,0.06%,0.0%
Expected Monthly%,1.85%,0.08%
Expected Yearly%,16.54%,0.68%
Daily Value-at-Risk,-1.04%,-0.05%
Expected Shortfall (cVaR),-1.04%,-0.05%
,,
MTD,0.0%,-0.01%
3M,3.41%,0.16%
6M,8.16%,0.43%
YTD,0.0%,-0.01%
1Y,24.89%,1.12%
3Y (ann.),25.87%,1.02%
5Y (ann.),25.87%,1.02%
10Y (ann.),25.87%,1.02%
All-time (ann.),25.87%,1.02%
,,
Best Day,2.49%,0.18%
Worst Day,-2.98%,-0.24%
Best Month,9.13%,0.39%
Worst Month,-4.73%,-0.2%
Best Year,26.74%,1.12%
Worst Year,0.0%,-0.01%
,,
Avg. Drawdown,-1.52%,-0.08%
Avg. Drawdown Days,12,13
Recovery Factor,4.77,4.04
Ulcer Index,0.03,0.0
Serenity Index,2.18,-2.25
,,
Avg. Up Month,3.9%,0.16%
Avg. Down Month,-2.91%,-0.11%
Win Days,420.48,399.24
Loss Days,309.52,330.76
Win Days%,57.6%,54.69%
Win Month%,70.83%,72.0%
Win Quarter%,87.5%,77.78%
Win Year%,100.0%,66.67%
,,
Beta,-,0.02
Alpha,-,0.01
Correlation,-,37.42%
Treynor Ratio,-,-118.32%
